zombie_step,human_step,surviving_humans
0.1,0.0,3728
0.1,0.10344827586206896,3700
0.1,0.20689655172413793,3706
0.1,0.3103448275862069,3684
0.1,0.41379310344827586,3631
0.1,0.5172413793103449,3616
0.1,0.6206896551724138,3585
0.1,0.7241379310344827,3608
0.1,0.8275862068965517,3584
0.1,0.9310344827586208,3609
0.1,1.0344827586206897,3565
0.1,1.1379310344827585,3506
0.1,1.2413793103448276,3438
0.1,1.3448275862068966,3308
0.1,1.4482758620689653,3123
0.1,1.5517241379310347,2980
0.1,1.6551724137931034,2989
0.1,1.7586206896551722,2946
0.1,1.8620689655172415,2819
0.1,1.9655172413793103,2700
0.1,2.0689655172413794,2591
0.1,2.1724137931034484,2721
0.1,2.275862068965517,2570
0.1,2.3793103448275863,2648
0.1,2.4827586206896552,2642
0.1,2.586206896551724,2540
0.1,2.689655172413793,2467
0.1,2.793103448275862,2504
0.1,2.8965517241379306,2506
0.1,3.0,2477
0.1310344827586207,0.0,3687
0.1310344827586207,0.10344827586206896,3655
0.1310344827586207,0.20689655172413793,3641
0.1310344827586207,0.3103448275862069,3585
0.1310344827586207,0.41379310344827586,3578
0.1310344827586207,0.5172413793103449,3508
0.1310344827586207,0.6206896551724138,3450
0.1310344827586207,0.7241379310344827,3419
0.1310344827586207,0.8275862068965517,3459
0.1310344827586207,0.9310344827586208,3471
0.1310344827586207,1.0344827586206897,3463
0.1310344827586207,1.1379310344827585,3376
0.1310344827586207,1.2413793103448276,3267
0.1310344827586207,1.3448275862068966,3095
0.1310344827586207,1.4482758620689653,2941
0.1310344827586207,1.5517241379310347,2935
0.1310344827586207,1.6551724137931034,2860
0.1310344827586207,1.7586206896551722,2773
0.1310344827586207,1.8620689655172415,2684
0.1310344827586207,1.9655172413793103,2650
0.1310344827586207,2.0689655172413794,2544
0.1310344827586207,2.1724137931034484,2454
0.1310344827586207,2.275862068965517,2375
0.1310344827586207,2.3793103448275863,2401
0.1310344827586207,2.4827586206896552,2288
0.1310344827586207,2.586206896551724,2375
0.1310344827586207,2.689655172413793,2256
0.1310344827586207,2.793103448275862,2304
0.1310344827586207,2.8965517241379306,2273
0.1310344827586207,3.0,2162
0.16206896551724137,0.0,3657
0.16206896551724137,0.10344827586206896,3626
0.16206896551724137,0.20689655172413793,3569
0.16206896551724137,0.3103448275862069,3519
0.16206896551724137,0.41379310344827586,3506
0.16206896551724137,0.5172413793103449,3456
0.16206896551724137,0.6206896551724138,3368
0.16206896551724137,0.7241379310344827,3353
0.16206896551724137,0.8275862068965517,3343
0.16206896551724137,0.9310344827586208,3371
0.16206896551724137,1.0344827586206897,3347
0.16206896551724137,1.1379310344827585,3281
0.16206896551724137,1.2413793103448276,3118
0.16206896551724137,1.3448275862068966,3009
